id,prompt_id,prompt,prompt_theme,input_text_id,input_text,completion_text,input_text_sentiment,completion_text_sentiment,sentiment_difference,cosine_similarity
0,8, Transform this paragraph without altering its tone or meaning., none,0,I love the regular style Pop Chips so when these were a Deal of the Day I grabbed a case of them. That was a mistake because these are gross. We had a party that weekend and put several flavors of this style of Pop Chip out and no one liked them. I have no idea what I'm going to do with all of them. I guess I'll take them to work because those people will snack on anything when it's free!,"i adore the classic flavor pop chips, so when they were a deal of the day, i snatched up a case of them. that was a blunder because these are disgusting. we had a party that weekend and put out several flavors of this style of pop chip, but no one enjoyed them. i have no idea what to do with all of them. i suppose i'll take them to work since those people will munch on anything when it's free!",-0.2006673558870951,-0.2680451408386231,0.06737778495152796,0.9747211933135986
1,8, Transform this paragraph without altering its tone or meaning., none,1,"These chips are nasty.  I thought someone had spilled a drink in the bag, no the chips were just soaked with grease.  Nasty!!","these chips are disgusting. i thought someone had spilled a drink in the bag, but no, the chips were simply saturated with grease. disgusting!",-0.6019241756703705,-0.5622708846605072,0.039653291009863256,0.9476048350334167
2,8, Transform this paragraph without altering its tone or meaning., none,2,"My last purchase of 4 cases of this food had a sour off- smell. Called natural balance customer service, they said they hadn't received complaints about that batch, they'd pass info along to tech dept, they'd send me a coupon for 1 case.... But, it's a natural product, and variation ""was to be expected"".  They suggested I return it to the retailer. Paying for shipping 3 times (receiving, sending back, receiving again) for a heavy product like this makes it very expensive.<br />I've fed this variety to my 3 cats for a year (alternate with Natural Balance Ultra), and they have always loved it.  They will only eat this batch if they are very very hungry.  I can barely stand to open the cans. All other batches had a clean fresh smell.<br />I'm disapointed with the customer service response to a quality issue from a heavy user of their premium priced product. (I have 3 cats). I won't buy from Natural Balance again. I'll use the coupon locally, and make sure I'm mixing production runs.","my previous purchase of four cases of this food had an unpleasantly sour smell. when i contacted natural balance customer service, they informed me that they hadn't received complaints about that particular batch, but would pass the information along to their technical department. they offered a coupon for one case, claiming that natural products can exhibit variations in odor and quality. the representative suggested i return it to the retailer, at my own expense, due to its weight and shipping costs. this is not the first time i've fed this variety to my three cats; they have always enjoyed it, alternating between natural balance ultra. however, this batch has a strong, unappealing odor that even my very hungry cats can't tolerate. in contrast, all other batches had a clean, fresh smell. i'm disappointed with the customer service response to a quality issue from a loyal and premium-paying customer (i own three cats). following this experience, i won't be purchasing from natural balance again. i'll use the coupon locally and ensure i'm mixing production runs in the future.",0.33238942999243737,0.33361860734497506,0.0012291773525376914,0.9135014414787292
3,8, Transform this paragraph without altering its tone or meaning., none,3,"I bought this when i was hungry and on a whim.<br />there was this subscribe and save deal going on.<br /><br />I like the nuts, i hate the carmel. Overall, it was too sweet for me. and now i have 6 boxes of it.<br />But it does work wonders when i'm hungry.","i purchased this impulsively while famished.<br/> there was a subscribe-and-save promotion at the time.<br/><br/> i enjoy the nuts, dislike the caramel.<br/> in general, it's overly sweet for my taste;<br/>and now i have six boxes of it.<br/> however, it proves effective when i'm hungry.",0.06460285515785218,0.3206481157302856,0.25604526057243343,0.9396151900291443
4,8, Transform this paragraph without altering its tone or meaning., none,4,"I was expecting something more.<br /><br />Blueberries - Very small pieces, and not many of them.<br /><br />Clusters - Where did they go?! When you look at the pictures of this product, and other types of their granola, it would appear that you are getting a bag of large clusters. Not the case, there are almost no clusters. The biggest cluster I found in all 3 bags was the size of a dime.<br /><br />Taste - Good, when you get some of everything.<br /><br />With all the other products out there, I don't think I will be purchasing this one again.","i was expecting something more. blueberries - very small pieces, and not many of them. clusters - where did they go?! when you look at the pictures of this product, and other types of their granola, it would appear that you are getting a bag of large clusters. not the case, there are almost no clusters. the biggest cluster i found in all three bags was the size of a dime. taste - good, when you get some of everything. with all the other products out there, i don't think i will be purchasing this one again.",0.0016194114978114738,0.022893290521701193,0.02127387902388972,0.9135668277740479
5,8, Transform this paragraph without altering its tone or meaning., none,5,Product was good but I quickly discovered ordering something like malt (which is ordered by the pound) it would be cheaper to purchase this type item from your local supplier (even if the price is a little higher). Unless you don't have a home brew store within driving distance this is probably not the way to go.,"the product was good, but i quickly discovered that ordering something like malt (which is ordered by the pound) would be cheaper to purchase from your local supplier, even if the price is a little higher. unless you don't have a homebrew store within driving distance, this probably isn't the way to go.",0.22862087797323866,0.21043445528745652,0.018186422685782133,0.9402193427085876
6,8, Transform this paragraph without altering its tone or meaning., none,6,"I have 7 dogs.  All various breeds and sizes.  I was looking for a brand without additives that all my dogs would benefit from.  I have a few that need to lose weight.  Wellness makes the best product.  I buy the small bites for my little ones....pieces are small and they love it.  I but the Healthy weightCORE for my ""dieters"" and mix it with canned green beans or peas and carrots.  So far my Golden, who was an overweight rescue at 129 pounds, has lost 19 pounds -- she's been on this food for about 7 months.  I buy the original CORE version for my baby bulldog, who had a lot of gas.  No more smells and ripples in the night!  Amazon has the best price for Wellness. And its shipped right to my home -- no lugging big bags back and forth.  Yes, it's more expensive than the other stuff--but it really works.  And that will cut down on future vet bills.  All my dogs are healthy and have nice shiny coats.  Priceless!  Wellness now has a SIMPLE version for those dogs who suffer with food allergies.  A family member has a little Teddy Bear with severe skin issues -- she'd scratch until raw and bloody.  She switched to the SIMPLE version of Wellness and has been itch free ever since.  Again...great brand!","i have seven dogs, various breeds and sizes. i was searching for a brand without additives that all my dogs could benefit from. a few need to lose weight. wellness makes the best product. i buy small bites for my little ones; pieces are small and they love it. i but healthy weightcore for my dieters, mixing it with canned green beans or peas and carrots. so far, my golden has lost 19 pounds   she's been on this food for about seven months. i buy the original core version for my baby bulldog, who had a lot of gas; no more smells and ripples at night! amazon offers the best price for wellness, and it ships directly to my home   no lugging big bags back and forth. yes, it's more expensive than other stuff, but it really works. that will cut down on future vet bills. all my dogs are healthy, with nice shiny coats. priceless! wellness now has a simple version for dogs who suffer from food allergies. a family member has a little teddy bear with severe skin issues   she'd scratch until raw and bloody. she switched to the simple version of wellness and has been itch-free ever since. again...great brand!",0.6314525879214207,0.6301238232940436,0.001328764627377077,0.9799894094467163
7,8, Transform this paragraph without altering its tone or meaning., none,7,"I am very pleased with this product.  Great tasting with coffee for a quick breakfast. After trying the banana walnut, I discovered the chocolate chip version and ordered it. Definitely, the chocolate chip is my favorite.","i am very pleased with this product. great tasting with coffee for a quick breakfast. after trying the banana walnut, i discovered the chocolate chip version and ordered it. definitely, the chocolate chip is my favorite.",0.6243255768568565,0.6243255768568565,0.0,1.0
8,8, Transform this paragraph without altering its tone or meaning., none,8,I give this supplement to my son before bed every night.  I was advised that Magnesium can aid in preventing headaches and migraines.  It also helps to calm and sooth my children before bed.  I find it very helpful. And it's all natural!,"i give this supplement to my son before bedtime every evening. i was informed that magnesium can assist in forestalling headaches and migraines. it also aids in calming and soothing my children before sleep. i find it extremely helpful, and it's entirely natural.",0.587428579249978,0.5909160140273472,0.003487434777369125,0.9742903113365173
9,9, Reword this statement while keeping the sentiment the same., sentiment,0,I love the regular style Pop Chips so when these were a Deal of the Day I grabbed a case of them. That was a mistake because these are gross. We had a party that weekend and put several flavors of this style of Pop Chip out and no one liked them. I have no idea what I'm going to do with all of them. I guess I'll take them to work because those people will snack on anything when it's free!,"i'm a fan of the classic pop chips, so i jumped at the chance to snag a case when they were discounted. however, these new flavors are a major disappointment and no one enjoyed them at our weekend party. now i'm left with a surplus and i'll probably end up donating them to my coworkers since they're always happy to snack on whatever is available for free.",-0.2006673558870951,0.18276849986712138,0.38343585575421646,0.891916036605835
